Region,Country,Size,Owned by,SME?,# Enterprises,Have Checking,Have Overdraft,Have Loan,Have Access to Credit,Access to finance as major/severe barrier,Does not need credit,Unserved,Underserved,Well served,Loan size - average size per revenue,Average loan duration (months),Loan rejection rate,Private Commercial Bank as Source of Financing,State-owned Bank and/or Govt. Agency as Source of Financing,Non-bank Financial Institution as Source of Financing,Other Source of Financing,Average credit value gap per enterprise,Total credit value gap,Average deposit gap per enterprise,Total deposit gap
Central Asia and Eastern Europe,,Informal,Male,,5885092,42%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,7496,44116019978,10822,63686161863
Central Asia and Eastern Europe,,Micro,Male,,5707674,73%,54%,49%,61%,20%,28%,11%,38%,23%,13%,,9%,79%,21%,0%,1%,14205,81078807823,12623,72049329930
Central Asia and Eastern Europe,,Very Small,Male,,1153669,89%,39%,37%,53%,27%,29%,18%,35%,17%,14%,41.55,21%,70%,28%,2%,1%,27992,32292944565,7149,8247489388
Central Asia and Eastern Europe,,Small,Male,,526283,91%,40%,38%,55%,32%,24%,21%,42%,13%,14%,44.46,21%,74%,19%,4%,2%,70176,36932692800,15550,8183747121
Central Asia and Eastern Europe,,Medium,Male,,85671,92%,51%,52%,67%,26%,19%,14%,49%,18%,13%,47.63,16%,79%,19%,1%,0%,406625,34835845102,69836,5982893129
East Asia,,Informal,Male,,75822637,31%,7%,9%,11%,,48%,41%,8%,3%,55%,,81%,0%,100%,0%,0%,2778,210652704743,14851,1126067370426
East Asia,,Micro,Male,,16153283,,,,,,,,,,,,,,,,,4327,69898896771,,
East Asia,,Very Small,Male,,5695552,55%,5%,22%,23%,15%,22%,56%,13%,9%,18%,,68%,42%,50%,7%,1%,7955,45306974471,19279,109806719482
East Asia,,Small,Male,,1421201,83%,12%,32%,36%,17%,28%,36%,24%,12%,17%,,3%,53%,45%,1%,1%,30849,43843016399,24995,35522385488
East Asia,,Medium,Male,,47381,89%,24%,35%,44%,7%,28%,28%,27%,17%,12%,,1%,58%,36%,4%,2%,229363,10867455181,75604,3582204220
Latin America,,Informal,Male,,22012963,37%,11%,12%,12%,30%,47%,40%,8%,4%,4%,,,30%,7%,50%,13%,6364,140088352119,3719,81855567286
